model,random_state,test_size,ROC-AUC,PR-AUC,Accuracy
Gradient Boosting,3,0.5,0.539132882882883,0.3056932594469378,0.7295918367346939
Random Forest,4,0.5,0.5656672297297297,0.305096573629196,0.7602040816326531
Logistic Regression,4,0.5,0.5382882882882882,0.2863827532456618,0.5918367346938775
Gradient Boosting,4,0.5,0.5496903153153153,0.3221656664026181,0.7193877551020408
Random Forest,4,0.5,0.5656672297297297,0.305096573629196,0.7602040816326531
Logistic Regression,4,0.5,0.5382882882882882,0.2863827532456618,0.5918367346938775
Gradient Boosting,4,0.5,0.5496903153153153,0.3221656664026181,0.7193877551020408
Random Forest,4,0.5,0.5656672297297297,0.305096573629196,0.7602040816326531
Logistic Regression,4,0.5,0.5382882882882882,0.2863827532456618,0.5918367346938775
Gradient Boosting,4,0.5,0.5496903153153153,0.3221656664026181,0.7193877551020408
Random Forest,5,0.5,0.636402027027027,0.3959269026945047,0.7704081632653061
Logistic Regression,5,0.5,0.5796734234234234,0.2971471064547008,0.5969387755102041
Gradient Boosting,5,0.5,0.5843186936936936,0.3542620669234304,0.7142857142857143
Random Forest,5,0.5,0.636402027027027,0.3959269026945047,0.7704081632653061
Logistic Regression,5,0.5,0.5796734234234234,0.2971471064547008,0.5969387755102041
Gradient Boosting,5,0.5,0.5843186936936936,0.3542620669234304,0.7142857142857143
Random Forest,5,0.5,0.636402027027027,0.3959269026945047,0.7704081632653061
Logistic Regression,5,0.5,0.5796734234234234,0.2971471064547008,0.5969387755102041
Gradient Boosting,5,0.5,0.5843186936936936,0.3542620669234304,0.7142857142857143
