model,random_state,test_size,n_epochs,margin,batch_size,learning_rate,weight_decay,scheduler_step_size,scheduler_gamma,ROC-AUC,PR-AUC,Accuracy
Contrastive After Gating,0,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5528104996443812,0.2832797172191004,0.6886189258312021
Contrastive After Gating,1,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5359619487908961,0.2689136936929082,0.6962915601023018
Contrastive After Gating,2,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5748922030583216,0.2832835952274092,0.6956521739130435
Contrastive After Gating,3,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.6053131667852063,0.3364642911756398,0.7199488491048593
Contrastive After Gating,4,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5666018403271692,0.2830210687121917,0.6937340153452686
Contrastive After Gating,5,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5637102151493598,0.2900917231122865,0.6860613810741688
Contrastive After Gating,21,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5465193812233285,0.2677359004654585,0.678388746803069
Contrastive After Gating,42,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5691378467283073,0.2840048942536131,0.7020460358056266
Contrastive After Gating,0,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5509873908996715,0.2686470349551552,0.6916737709576585
Contrastive After Gating,2,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5687944523470838,0.2898947436122298,0.7033248081841432
Contrastive After Gating,3,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5385765151116029,0.274581368033123,0.7016197783461211
Contrastive After Gating,4,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.559356286110672,0.2870465680573327,0.7027564649048025
Contrastive After Gating,5,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5628413501220518,0.2885302515573137,0.7016197783461211
Contrastive After Gating,21,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5442945138120576,0.2705758970812491,0.7061665245808468
Contrastive After Gating,42,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5489603638726446,0.2800250768322999,0.6973572037510657
